SID,NUMBER,ISO_TIME,NATURE,LAT,LON,YEAR
2006253N20120,64,9/10/2006 0:00,Disturbance,20.4,120,2006
2006254N20306,65,9/10/2006 18:00,Tropical,20.2,-53.8,2006
2006256N12338,66,9/12/2006 12:00,Tropical,11.9,-22,2006
2006257N16259,67,9/13/2006 18:00,Tropical,15.7,-101,2006
2006258N11215,68,9/14/2006 12:00,Disturbance,10.6,-145.3,2006
2006259N17245,69,9/16/2006 0:00,Tropical,17.3,-115,2006
2006259N19155,70,9/16/2006 0:00,Disturbance,18.7,155.4,2006
2006262N19069,71,9/19/2006 12:00,Disturbance,19.4,68.4,2006
2006264N13115,72,9/21/2006 0:00,Disturbance,13.2,115,2006
2006264N23087,73,9/21/2006 12:00,Tropical,23,86.5,2006
2006268N10187,74,9/25/2006 0:00,Disturbance,10,-172.9,2006
2006268N12129,75,10/1/2006 0:00,Tropical,16.1,108.6,2006
2006271N18089,76,9/28/2006 0:00,Disturbance,17.7,89.4,2006
2006271N26307,77,10/1/2006 0:00,Tropical,32,-59.8,2006
2006272N13144,78,10/1/2006 0:00,Tropical,13.3,136.5,2006
2006276N18151,79,10/2/2006 12:00,Tropical,17.7,151,2006
2006281N11201,80,10/10/2006 0:00,Disturbance,9.9,-160.9,2006
2006282N13160,81,10/10/2006 0:00,Tropical,17.8,153.3,2006
2006282N14243,82,10/10/2006 0:00,Tropical,16.2,-117.9,2006
2006283N13232,83,10/10/2006 0:00,Tropical,13.3,-127.7,2006
2006294N16254,84,10/21/2006 12:00,Tropical,15.8,-106.5,2006
2006294S10168,85,10/20/2006 12:00,Mixture(contradicting report from different agencies),-9.5,167.9,2006
2006298N12143,86,10/25/2006 0:00,Disturbance,11.5,142.6,2006
2006300N07078,87,10/27/2006 12:00,Disturbance,8.6,78.4,2006
2006300N17256,88,10/26/2006 12:00,Tropical,16.7,-103.9,2006
2006311N16143,89,11/10/2006 0:00,Tropical,16.1,127.2,2006
2006312N13256,90,11/10/2006 0:00,Tropical,15.5,-105.6,2006
2006315N13248,91,11/11/2006 0:00,Tropical,13.1,-112.3,2006
2006318N12256,92,11/13/2006 18:00,Tropical,12.3,-103.6,2006
2006322S09172,93,11/18/2006 12:00,Not reported,-9,170,2006
2006329N06150,94,11/24/2006 12:00,Disturbance,6.1,149.8,2006
2006330S06049,95,11/26/2006 12:00,Disturbance,-6.2,48.3,2006
2006335S10164,96,12/1/2006 0:00,Tropical,-10.4,164,2006
2006340N08142,97,12/10/2006 0:00,Tropical,12.2,121.7,2006
2006349N08157,98,12/15/2006 12:00,Tropical,8.5,154.5,2006
2006350S07071,99,12/15/2006 12:00,Disturbance,-7,71,2006
2006364S12058,100,1/1/2007 0:00,Tropical,-16.7,53.5,2006
2006365S12114,101,1/1/2007 0:00,Mixture(contradicting report from different agencies),-11.3,116,2006
2007021S12183,1,1/20/2007 18:00,Not reported,-12.2,-177,2007
2007021S12195,2,1/20/2007 18:00,Not reported,-11.5,-165.5,2007
2007027S07069,3,1/26/2007 12:00,Disturbance,-6.8,68.6,2007
2007032S11137,4,1/31/2007 15:00,Tropical,-11.1,137,2007
2007033S12177,5,2/1/2007 18:00,Mixture(contradicting report from different agencies),-11.8,176.9,2007
2007037S19050,6,2/10/2007 0:00,Tropical,-16.2,59.2,2007
2007043S11071,7,2/11/2007 12:00,Tropical,-10.6,71.2,2007
2007050S16079,8,2/19/2007 12:00,Mixture(contradicting report from different agencies),-16.2,78.8,2007
2007052S10093,9,2/20/2007 12:00,Tropical,-9.6,92.9,2007
2007058S12135,10,2/27/2007 0:00,Tropical,-12.1,135.2,2007
2007062S14119,11,3/10/2007 0:00,Tropical,-16.3,110.5,2007
2007066S12066,12,3/10/2007 0:00,Mixture(contradicting report from different agencies),-14.1,63.6,2007
2007082S16125,13,3/23/2007 12:00,Tropical,-16,123.9,2007
2007084S12157,14,3/24/2007 18:00,Mixture(contradicting report from different agencies),-11.7,157,2007
2007085S11085,15,3/26/2007 12:00,Tropical,-11.2,84.5,2007
2007090N06158,16,3/30/2007 12:00,Tropical,5.8,158.2,2007
2007091S14175,17,4/1/2007 0:00,Not reported,-13.5,175,2007
2007100S22037,18,4/10/2007 0:00,Tropical,-22.4,39,2007
2007127N36286,19,5/10/2007 0:00,Subtropical,30.7,-79.8,2007
2007133N15091,20,5/12/2007 21:00,Tropical,15,90.5,2007
