Year,Disaster_Type,Total_Economic_Damage_Share_GDP,Countries_With_Data,Total_Countries_In_Year
1991,Wet mass movement,0.01673083718,11,83
1992,Drought,3.4983845705000003,31,89
1992,Flood,31.5327225244,39,89
1992,Earthquake,12.005808467199998,24,89
1992,Extreme weather,13.0843035592,29,89
1992,Extreme temperature,7.6786465459999995,10,89
1992,Volcanic activity,0.0,9,89
1992,Wildfire,0.47055025525,11,89
1992,Glacial lake outburst flood,0.0,0,89
1992,Dry mass movement,0.0,7,89
1992,Wet mass movement,8.402441557224,12,89
1993,Drought,0.5631443495999999,24,90
1993,Flood,22.6992200654,56,90
1993,Earthquake,0.27528653882,19,90
1993,Extreme weather,41.46540163645,44,90
1993,Extreme temperature,0.2878171736,6,90
1993,Volcanic activity,0.0008414586485,9,90
1993,Wildfire,0.0229697082,4,90
1993,Glacial lake outburst flood,0.0,0,90
1993,Dry mass movement,0.0,5,90
1993,Wet mass movement,11.7580941938,21,90
1994,Drought,5.136159698799999,25,89
1994,Flood,6.171496578399999,56,89
1994,Earthquake,2.5703232006700003,18,89
1994,Extreme weather,8.5322471985136,40,89
1994,Extreme temperature,0.1027451057,13,89
1994,Volcanic activity,2.0103685211399998,6,89
1994,Wildfire,0.04768725627900001,13,89
1994,Glacial lake outburst flood,0.0,0,89
1994,Dry mass movement,0.0,0,89
1994,Wet mass movement,2.19494654433,14,89
1995,Drought,1.6154791807,19,94
1995,Flood,21.874501563582996,56,94
1995,Earthquake,3.3784774504,20,94
1995,Extreme weather,199.78142098794,40,94
1995,Extreme temperature,0.16355297829999998,15,94
1995,Volcanic activity,0.0175012416941,8,94
1995,Wildfire,0.05861925667000001,11,94
1995,Glacial lake outburst flood,0.0,0,94
1995,Dry mass movement,0.0,0,94
1995,Wet mass movement,0.09908060882599999,15,94
1996,Drought,1.5983704905000002,13,89
1996,Flood,28.208533523539998,61,89
1996,Earthquake,0.1237591592,12,89
1996,Extreme weather,7.3237164902977,41,89
1996,Extreme temperature,0.0,10,89
1996,Volcanic activity,0.22230443923999998,7,89
1996,Wildfire,127.32474766370001,7,89
1996,Glacial lake outburst flood,0.0,0,89
1996,Dry mass movement,0.0,0,89
1996,Wet mass movement,0.0034885394080000002,23,89
1997,Drought,1.7244347888400002,26,100
1997,Flood,13.856998359383999,66,100
1997,Earthquake,3.388999574599,21,100
1997,Extreme weather,5.3278650040199995,40,100
1997,Extreme temperature,0.004639135445,15,100
1997,Volcanic activity,2.5159105e-05,6,100
1997,Wildfire,4.225723420362001,18,100
1997,Glacial lake outburst flood,0.0,0,100
1997,Dry mass movement,0.0,0,100
1997,Wet mass movement,0.014254881381000001,16,100
1998,Drought,6.6531837424699996,34,111
1998,Flood,22.792789745800004,62,111
1998,Earthquake,0.54841079444,21,111
1998,Extreme weather,234.39939489940602,43,111
1998,Extreme temperature,0.077149891,15,111
1998,Volcanic activity,0.0,7,111
1998,Wildfire,2.0508994584,20,111
1998,Glacial lake outburst flood,0.0,0,111
1998,Dry mass movement,0.0,0,111
1998,Wet mass movement,0.113315369724,21,111
1999,Drought,6.4156722597,34,124
1999,Flood,9.947046388749,71,124
1999,Earthquake,14.434037615480001,23,124
1999,Extreme weather,23.151614542951002,57,124
1999,Extreme temperature,0.0171105153,12,124
1999,Volcanic activity,0.0,7,124
1999,Wildfire,1.3106698411,24,124
1999,Glacial lake outburst flood,0.0,0,124
1999,Dry mass movement,0.0,0,124
1999,Wet mass movement,0.25639187027,18,124
2000,Drought,19.017574301774594,43,116
2000,Flood,17.9204742199,74,116
2000,Earthquake,0.5292157348600001,23,116
2000,Extreme weather,38.364414893793,47,116
2000,Extreme temperature,1.610706383735,31,116
2000,Volcanic activity,0.002813351342,8,116
2000,Wildfire,0.6212447466000001,23,116
2000,Glacial lake outburst flood,0.0,0,116
2000,Dry mass movement,0.0,3,116
2000,Wet mass movement,0.16843154895999998,23,116
2001,Drought,10.033433759216999,45,118
2001,Flood,6.43394658653,83,118
2001,Earthquake,16.47110422278,20,118
2001,Extreme weather,55.453568998256,49,118
2001,Extreme temperature,0.3726072957034,24,118
2001,Volcanic activity,0.048918729875999996,11,118
2001,Wildfire,0.007396222484999999,13,118
2001,Glacial lake outburst flood,0.0,0,118
2001,Dry mass movement,0.0,0,118
2001,Wet mass movement,0.06804477106,16,118
2002,Drought,2.501411629387,40,127
2002,Flood,11.207707237089998,91,127
2002,Earthquake,10.726351075303999,24,127
2002,Extreme weather,9.169938637264,64,127
2002,Extreme temperature,0.0,18,127
2002,Volcanic activity,0.107617188753,10,127
2002,Wildfire,0.1471275524,18,127
2002,Glacial lake outburst flood,0.0,0,127
2002,Dry mass movement,0.0,3,127
2002,Wet mass movement,0.15529531234,20,127
2003,Drought,2.8641032203399996,28,122
2003,Flood,22.03386049831,85,122
2003,Earthquake,8.018363074,23,122
2003,Extreme weather,10.413683368596,46,122
2003,Extreme temperature,1.7322745509999997,29,122
2003,Volcanic activity,0.0,5,122
2003,Wildfire,1.311459473,16,122
2003,Glacial lake outburst flood,0.0,0,122
2003,Dry mass movement,0.0,0,122
2003,Wet mass movement,2.645908986795,19,122
2004,Drought,0.2609990429,22,120
2004,Flood,5.39973131637,74,120
2004,Earthquake,58.862982555040006,33,120
2004,Extreme weather,218.12354092902,60,120
2004,Extreme temperature,0.0,23,120
2004,Volcanic activity,0.0,5,120
2004,Wildfire,0.0003220686087,10,120
2004,Glacial lake outburst flood,0.0,0,120
2004,Dry mass movement,0.0,3,120
2004,Wet mass movement,0.004136033669,14,120
2005,Drought,0.9822108225,28,125
2005,Flood,64.552524163795,89,125
2005,Earthquake,4.042722728384999,20,125
2005,Extreme weather,21.721709420939995,70,125
2005,Extreme temperature,0.03038068725,30,125
2005,Volcanic activity,0.0,11,125
